NUM_FPN,NUM_CPN,CPN,MFR,MFR_PART,Jan/2018,Feb/2018,Mar/2018,Apr/2018,May/2018,Jun/2018,Jul/2018,Aug/2018,Sep/2018,Oct/2018,Nov/2018,Dec/2018,Jan/2019,Feb/2019,Mar/2019,Apr/2019,May/2019,Jun/2019,Jul/2019,Aug/2019,Sep/2019,Oct/2019,Nov/2019,Dec/2019,Jan/2020,Feb/2020,Mar/2020,Apr/2020,May/2020,Jun/2020,Jul/2020,Aug/2020,Sep/2020,Oct/2020,Nov/2020,Dec/2020,Jan/2021,Feb/2021,Mar/2021,Apr/2021,May/2021,Jun/2021,Jul/2021,Aug/2021,Sep/2021,Oct/2021,Nov/2021,Dec/2021,Jan/2022,Feb/2022,Mar/2022,Apr/2022,May/2022,Jun/2022,Jul/2022,Aug/2022,Sep/2022,Oct/2022,Nov/2022,Dec/2022
1,1,12-1044,DIO,SMAZ20-13-F,130210,69920,138150,88960,78648,85432,88320,47744.0,47744.0,47744.0,47744.0,47744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,12-1070,DIO,B340A-13-F,130210,69920,138150,88960,78648,85432,88320,47744.0,47744.0,47744.0,47744.0,47744.0,888.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,13-1042,DIO,BSS123-7-F,390630,209760,414450,266880,235944,256296,264960,143232.0,143232.0,143232.0,143232.0,143232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,15-1327,CIT,CMR200T32768DZFT,130210,69920,138150,88960,78648,85432,88320,47744.0,47744.0,47744.0,47744.0,47744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,188735397,DIO,BAV99W-7-F,23687,10946,19016,18813,22697,21816,16920,13410.0,13410.0,13410.0,13410.0,13410.0,12148.0,10131.0,12016.0,8170.0,15131.0,19781.0,18016.0,18796.8,18796.8,18796.8,18796.8,18796.8,8998.0,7728.0,11228.0,7758.0,9299.0,4088.0,4414.0,3194.6,3194.6,3194.6,3194.6,3194.6,10306.0,5060.0,15774.0,11805.0,8894.0,14323.0,10298.0,7702.6,7702.6,7702.6,7702.6,7702.6,2420.0,29678.0,22276.0,14751.0,7773.0,9862.0,9355.0,7702.6,7702.6,7702.6,7702.6,7702.6
1,1,189071031,DIO,DMP2215L-7,21203,8649,15086,15171,18174,17387,14200,11555.0,11555.0,11555.0,11555.0,11555.0,9647.0,9939.0,10578.0,7604.0,14058.0,18224.0,15975.0,16340.8,16340.8,16340.8,16340.8,16340.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,189103664,DIO,BZT52C43-7-F,61569,36988,59548,40114,48941,37152,38762,35443.0,35443.0,35443.0,35443.0,35443.0,38057.0,40446.0,32278.0,13224.0,33946.0,25619.0,27830.0,21738.4,21738.4,21738.4,21738.4,21738.4,33344.0,39440.0,39623.0,40936.0,40045.0,35811.0,48976.0,20842.2,20842.2,20842.2,20842.2,20842.2,11035.0,38037.0,51650.0,45724.0,50930.0,41168.0,44712.0,28152.0,28152.0,28152.0,28152.0,28152.0,480.0,40944.0,128908.0,79787.0,36734.0,61145.0,57557.0,28152.0,28152.0,28152.0,28152.0,28152.0
1,1,189239000,DIO,HD04-T,132447,56691,96048,78388,98685,88945,86163,82938.6,82938.6,82938.6,82938.6,82938.6,69527.0,83346.0,76954.0,43702.0,89357.0,75693.0,66651.0,71940.0,71940.0,71940.0,71940.0,71940.0,91874.0,93800.0,135537.0,143867.0,139246.0,122432.0,161437.0,77522.0,77522.0,77522.0,77522.0,77522.0,63166.0,89536.0,155370.0,139669.0,123469.0,139418.0,157805.0,114289.6,114289.6,114289.6,114289.6,114289.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114289.6,114289.6,114289.6,114289.6,114289.6
1,1,189783144,XR7,SP3232EBER-L/TR,111435,41904,79604,74652,93036,84592,91061,81385.2,81385.2,81385.2,81385.2,81385.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,192001997,DIO,ZXTN07045EFFTA,16000,3800,11040,8976,9466,6068,7600,5300.0,5300.0,5300.0,5300.0,5300.0,8000.0,3750.0,1250.0,0.0,0.0,5000.0,4000.0,1200.0,1200.0,1200.0,1200.0,1200.0,2220.0,1208.0,802.0,400.0,380.0,320.0,400.0,240.0,240.0,240.0,240.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,192004279,XR7,SP6699EK-L/TR,159351,64745,115825,103411,118136,122016,107534,103427.2,103427.2,103427.2,103427.2,103427.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,192006252,XR7,XR21V1410IL16TR-F,35771,34264,50758,37410,45803,43466,37166,35939.4,35939.4,35939.4,35939.4,35939.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,192012859,XR,XR21V1414IM48TR-F,1960,1050,1490,981,1374,1527,1160,1164.0,1164.0,1164.0,1164.0,1164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,22-1492,BIV,CSW-1001,134280,69920,138150,88960,78648,85432,88320,47744.0,47744.0,47744.0,47744.0,47744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
