COMPANY,BILLTO,MRPVSCONT,NUM_FPN,NUM_CPN,CPN,MFR,MFR_PART,FPN,PRIORITY,CLASS,EAU,BOND_QTY,BOND_DELTA,BOND_ALLOC,ATS_BOL,ATS_MTL,ATS_ASIA,ATS_EUR,DELTA,WKS_SUPPLY,CUTOFFDATE,TREND,VOLAT_PERC,ACCUR_PERC,TOTAL_CBO,TOT_ALLOC,PROV_ALLOC,NA_PBO,EUR_PBO,ASIA_PBO,USE_1_12,USE_13_24,USE_13_16,USE_9_12,USE_5_8,USE_1_4,PASTDUE,WEEK1,WEEK2,WEEK3,WEEK4,WEEK5,WEEK6,MRP_1_4,MRP_5_8,MRP_9_12,MRP_13_16,MRP_17_20,MRP_21_24,MRP_25_28,MRP_OVER28,MRP_1_12,GROSS_NET,QOH,FCQOH,INTRANSIT,FRESALE,UOM,CRESALE,RESCHK,PRODUCTYPE,FMPQ,CMPQ,MPQCHK,CPNDESC,BIN_LOC,CONTR_NUM,CONTR_LINE,CONTR_STRT,CONTR_END,EXTRA1,EXTRA2,EXTRA3,LOI_NUM,CUST_PO,CUSTPOLINE,IS_LF,IS_ROHS,A_LF_PB,A_ROHS,END_CUST,PROG_PART,WEEK13,MRPPD_13,NET_90DAY,RUN_DATE,PAPER_WORK,NETGRECEIV,QOHDEDUCT,CBODEDUCT,FCQOHDEDUC,CUST_NET90,ACTIONET90,CBOBONDALC,CODE,NOTES,USERNAME,MODDATE,MANUALOC,LEADTIME,CUSTMPN
FUTA,JS005B,MC,1,1,12-1044,DIO,SMAZ20-13-F,SMAZ20TR,001,4X,535000,325000,280000,45000,5000,0,125000,0,73717,7 Weeks,2/26/2018,135.63%,Mrp_1_4: 130210 / Prev_2_5: 139786,Sales: 85000 / MRP: 132794,0,0,0,0,0,2035000,245000,240000,70000,90000,70000,85000,0,25410,34960,34880,34960,34960,0,130210,69920,138150,88960,78648,85432,88320,238720,338280,Gross MRP data - QOH provided,91997,150000,0,0.029300,E,0.000000,Empty Customer Price,Common Bond,5000,0,Empty Customer MPQ,In-Transit:Sales=45000;CBO=0,,1853030176,002,1/15/2016,1/1/2020,95250,130210,VN0101RICONSIGN,BIM-JABIL VN-SMCI,1853030176,000001,Y,Y,N,N,,,18000,356280,246283,1/6/2018,,Gross MRP Received,N,N,N,246283,246283,45000,,,,,Y,16,SMAZ20-13-F
FUTA,JS005B,MC,1,1,12-1070,DIO,B340A-13-F,MBRA340TR,001,4V,390000,275000,0,275000,235000,0,4725000,490000,4898942,30 Weeks+,8/6/2018,133.51%,Mrp_1_4: 130210 / Prev_2_5: 139786,Sales: 85000 / MRP: 132794,0,0,0,540000,1000000,8000000,245000,235000,75000,85000,75000,85000,0,25410,34960,34880,34960,34960,0,130210,69920,138150,88960,78648,85432,88320,238720,338280,Gross MRP data - QOH provided,92222,145000,0,0.029000,E,0.000000,Empty Customer Price,Common Bond,5000,0,Empty Customer MPQ,In-Transit:Sales=40000;CBO=0,,CT#9999,003,1/15/2016,1/1/2020,95250,130210,VN0101RICONSIGN,BIM-JABIL VN-SMCI,1853020236,000001,Y,Y,N,N,,,18000,356280,246058,1/6/2018,,Gross MRP Received,N,N,N,246058,246058,275000,,,,,N,16,B340A-13-F
FUTA,JS005B,MC,1,1,13-1042,DIO,BSS123-7-F,BSS123LT1,001,04,630000,1053000,1053000,0,282000,0,2751000,9000,2455289,30 Weeks+,8/6/2018,149.38%,Mrp_1_4: 390630 / Prev_2_5: 419358,Sales: 255000 / MRP: 398382,0,0,0,675000,28548000,21348000,636000,702000,222000,153000,228000,255000,0,76230,104880,104640,104880,104880,0,390630,209760,414450,266880,235944,256296,264960,716160,1014840,Gross MRP data - QOH provided,275129,444000,0,0.010500,E,0.000000,Empty Customer Price,Common Bond,3000,0,Empty Customer MPQ,In-Transit:Sales=147000;CBO=0,,1853030177,005,1/15/2016,1/1/2020,285750,390630,VN0101RICONSIGN,BIM-JABIL VN-SMCI,1853030177,000001,Y,Y,N,N,,,54000,1068840,739711,1/6/2018,,Gross MRP Received,N,N,N,739711,739711,0,,,,,Y,16,BSS123-7-F
FUTA,JS005B,MC,2,1,15-1327,CIT,CMR200T32768DZFT,32.768K-CMR200TT,001,68,226000,322000,110000,212000,474000,0,0,22000,244242,8 Weeks,3/5/2018,132.68%,Mrp_1_4: 130210 / Prev_2_5: 139786,Sales: 86000 / MRP: 132794,0,0,0,256000,0,1620000,248000,236000,74000,86000,76000,86000,0,25410,34960,34880,34960,34960,0,130210,69920,138150,88960,78648,85432,88320,238720,338280,Gross MRP data - QOH provided,92522,278000,0,0.092200,E,0.000000,Empty Customer Price,Common Bond,2000,0,Empty Customer MPQ,In-Transit:Sales=34000;CBO=0,,CT#9999,006,1/15/2016,1/1/2020,95250,130210,VN0101RICONSIGN,BIM-JABIL VN-SMCI,1853029457,000001,Y,Y,N,N,,,18000,356280,245758,1/6/2018,,Gross MRP Received,N,N,N,245758,245758,212000,,,,,N,16,CMR200T32.768KDZF-UT
FUTA,JS005B,MC,1,1,188735397,DIO,BAV99W-7-F,BAV99WT1,001,04,39000,42000,33000,9000,18000,0,1458000,0,1469497,30 Weeks+,8/6/2018,345.06%,Mrp_1_4: 23687 / Prev_2_5: 9317,Sales: 21000 / MRP: 42494,0,0,0,243000,2700000,15075000,21000,48000,0,0,0,21000,10734,14317,5100,3600,670,0,5471,23687,10946,19016,18813,22697,21816,16920,67050,53649,Gross MRP data - QOH provided,33880,33000,0,0.005800,E,0.000000,Empty Customer Price,Common Bond,3000,0,Empty Customer MPQ,In-Transit:Sales=0;CBO=0,,CT#9999,007,1/15/2016,1/1/2020,33751,34421,VN0101RICONSIGN,BIM-JABIL VN-SMCI,1853020240,000001,Y,Y,N,N,,,4400,68783,30503,1/6/2018,,Gross MRP Received,N,N,N,30503,30503,9000,,,,,Y,16,BAV99W-7-F
FUTA,JS005B,MC,1,1,189071031,DIO,DMP2215L-7,DMP2215LTR,001,4Y,30000,24000,24000,0,0,0,0,0,-6309,-1 Weeks,1/1/2018,69.09%,Mrp_1_4: 21203 / Prev_2_5: 11301,Sales: 0 / MRP: 33860,0,0,0,54000,0,2070000,57000,75000,30000,30000,27000,0,9865,9873,4300,6430,600,0,4324,21203,8649,15086,15171,18174,17387,14200,57775,44938,Gross MRP data - QOH provided,36494,12000,0,0.031000,E,0.000000,Empty Customer Price,Common Bond,3000,0,Empty Customer MPQ,In-Transit:Sales=0;CBO=0,,CT#9999,008,1/15/2016,1/1/2020,30468,31068,VN0101RICONSIGN,BIM-JABIL VN-SMCI,1853030281,000001,Y,Y,N,N,,,3550,58353,18309,1/6/2018,,Gross MRP Received,N,N,N,18309,18309,0,,,,,N,16,DMP2215L-7
FUTA,JS005B,MC,1,1,189103664,DIO,BZT52C43-7-F,BZT52C43TR,001,4X,258000,135000,0,135000,75000,0,663000,0,678673,30 Weeks+,8/6/2018,60.62%,Mrp_1_4: 61569 / Prev_2_5: 48883,Sales: 42000 / MRP: 40106,0,0,0,0,9000,624000,216000,309000,111000,93000,81000,42000,4521,13453,10175,20500,17441,0,16539,61569,36988,59548,40114,48941,37152,38762,177215,158105,Gross MRP data - QOH provided,28299,15000,0,0.008500,E,0.000000,Empty Customer Price,Common Bond,3000,0,Empty Customer MPQ,In-Transit:Sales=0;CBO=0,,1853022412,009,1/15/2016,1/1/2020,48649,66090,VN0101RICONSIGN,BIM-JABIL VN-SMCI,1853029656,000001,Y,Y,N,N,,,9619,172245,134327,1/6/2018,,Gross MRP Received,N,N,N,134327,134327,135000,,,,,N,16,BZT52C43-7-F
FUTA,JS005B,MC,1,1,189239000,DIO,HD04-T,HD04TR,001,4V,900000,249000,0,249000,0,0,474000,0,527179,30 Weeks+,8/6/2018,78.19%,Mrp_1_4: 132447 / Prev_2_5: 112801,Sales: 81000 / MRP: 78706,0,0,0,354000,1395000,3009000,324000,420000,141000,126000,117000,81000,13048,24539,11169,39736,57003,242,25805,132447,56691,96048,78388,98685,88945,86163,414693,285186,Gross MRP data - QOH provided,57413,45000,0,0.044500,E,0.000000,Empty Customer Price,Common Bond,3000,0,Empty Customer MPQ,In-Transit:Sales=0;CBO=0,,1853023228,109,9/26/2016,1/1/2020,88492,145495,VN0101RICONSIGN,BIM-JABIL VN-SMCI,1853030342,000001,Y,Y,N,N,,,18132,316366,240821,1/6/2018,,Gross MRP Received,N,N,N,240821,240821,249000,,,,,N,12,HD04-T
FUTA,JS005B,MC,1,1,189783144,XR7,SP3232EBER-L/TR,SP3232EBERR,001,28,3000,225000,33000,192000,6000,0,0,0,82153,8 Weeks,3/5/2018,72.21%,Mrp_1_4: 111435 / Prev_2_5: 91405,Sales: 84000 / MRP: 86528,0,0,0,0,0,135000,291000,213000,135000,134000,73000,84000,25441,30080,10102,54780,16473,242,18202,111435,41904,79604,74652,93036,84592,91061,406926,232943,Gross MRP data - QOH provided,85537,63000,0,0.206000,E,0.000000,Empty Customer Price,Common Bond,3000,0,Empty Customer MPQ,In-Transit:Sales=0;CBO=0,,CT#9999,129,5/29/2017,1/1/2020,120403,136876,VN0101RICONSIGN,BIM-JABIL VN-SMCI,1853030054,000001,Y,Y,N,N,,,17309,275693,172847,1/6/2018,,Gross MRP Received,N,N,N,172847,172847,192000,,,,,N,,SP3232EBER-L/TR
FUTA,JS005B,MC,1,1,192001997,DIO,ZXTN07045EFFTA,ZXTN07045EFFTA,001,04,165000,39000,39000,0,3000,0,0,0,-28264,-1 Weeks,1/1/2018,110.60%,Mrp_1_4: 16000 / Prev_2_5: 15000,Sales: 15000 / MRP: 16396,0,0,0,309000,3000,1296000,33000,42000,3000,18000,0,15000,6424,1000,12000,3000,0,0,900,16000,3800,11040,8976,9466,6068,7600,26500,30840,Gross MRP data - QOH provided,9000,0,0,0.103000,E,0.000000,Empty Customer Price,Common Bond,3000,0,Empty Customer MPQ,In-Transit:Sales=0;CBO=0,,CT#9999,011,1/15/2016,1/1/2020,22424,22424,VN0101RICONSIGN,BIM-JABIL VN-SMCI,1853028969,000001,Y,Y,N,N,,,2320,39584,28264,1/6/2018,,Gross MRP Received,N,N,N,28264,28264,0,,,,,N,16,ZXTN07045EFFTA
