COMPANY,BILLTO,MRPVSCONT,NUM_FPN,NUM_CPN,CPN,MFR,MFR_PART,FPN,PRIORITY,CLASS,EAU,BOND_QTY,BOND_DELTA,BOND_ALLOC,ATS_BOL,ATS_MTL,ATS_ASIA,ATS_EUR,DELTA,WKS_SUPPLY,CUTOFFDATE,TREND,VOLAT_PERC,ACCUR_PERC,TOTAL_CBO,TOT_ALLOC,PROV_ALLOC,NA_PBO,EUR_PBO,ASIA_PBO,USE_1_12,USE_13_24,USE_13_16,USE_9_12,USE_5_8,USE_1_4,PASTDUE,WEEK1,WEEK2,WEEK3,WEEK4,WEEK5,WEEK6,MRP_1_4,MRP_5_8,MRP_9_12,MRP_13_16,MRP_17_20,MRP_21_24,MRP_25_28,MRP_OVER28,MRP_1_12,GROSS_NET,QOH,FCQOH,INTRANSIT,FRESALE,UOM,CRESALE,RESCHK,PRODUCTYPE,FMPQ,CMPQ,MPQCHK,CPNDESC,BIN_LOC,CONTR_NUM,CONTR_LINE,CONTR_STRT,CONTR_END,EXTRA1,EXTRA2,EXTRA3,LOI_NUM,CUST_PO,CUSTPOLINE,IS_LF,IS_ROHS,A_LF_PB,A_ROHS,END_CUST,PROG_PART,WEEK13,MRPPD_13,NET_90DAY,RUN_DATE,PAPER_WORK,NETGRECEIV,QOHDEDUCT,CBODEDUCT,FCQOHDEDUC,CUST_NET90,ACTIONET90,CBOBONDALC,CODE,NOTES,USERNAME,MODDATE,MANUALOC,LEADTIME,CUSTMPN
FUTA,JS005B,MC,1,1,12-04135,DIO,BAV116WS-7,BAV116WS-7,001,04,489000,165000,57000,108000,0,0,0,0,104401,6 Weeks,2/15/2021,48.76%,No previous data found,No previous data found,0,0,0,0,21000,315000,276000,144000,93000,84000,132000,60000,12846,0,28800,28800,14400,21600,0,72000,28710,43200,36000,7200,0,10800,162000,143910,Gross MRP data - QOH provided,30157,123000,0,0.011000,E,0.000000,Empty Customer Price,Common Bond,3000,0,Empty Customer MPQ,In-Transit:Sales=63000;CBO=0,,CT#9999,203,11/25/2019,1/1/2030,84846,106446,VN0101RICONSIGN,BIM-JABIL VN-SMCI,1853037071,000001,Y,Y,N,N,,,36000,192756,126599,1/2/2021,,Gross MRP Received,N,N,N,126599,126599,108000,,,,,N,14,BAV116WS-7
FUTA,JS005B,MC,1,1,12-04150,DIO,D5V0L1B2T-7,D5V0L1B2T-7,001,11,735000,216000,171000,45000,0,0,0,0,73840,1 Weeks,1/11/2021,55.63%,No previous data found,No previous data found,0,0,0,0,9000,783000,357000,207000,141000,138000,165000,54000,19269,0,43200,43200,21600,32400,0,108000,46620,64800,57600,14400,0,21600,255600,219420,Gross MRP data - QOH provided,81529,186000,0,0.014500,E,0.000000,Empty Customer Price,Common Bond,3000,0,Empty Customer MPQ,In-Transit:Sales=99000;CBO=0,,CT#9999,206,11/25/2019,1/1/2030,127269,159669,VN0101RICONSIGN,BIM-JABIL VN-SMCI,1853037073,000001,Y,Y,N,N,,,57600,296289,157160,1/2/2021,,Gross MRP Received,N,N,N,157160,157160,45000,,,,,N,10,D5V0L1B2T-7
FUTA,JS005B,MC,1,1,12-04151,DIO,SMAZ20-13-F,SMAZ20TR,001,4X,245000,35000,0,35000,5000,0,100000,0,213972,29 Weeks,7/26/2021,49.98%,No previous data found,No previous data found,0,0,0,0,0,1250000,140000,105000,40000,45000,65000,30000,6423,0,14400,14400,7200,10800,0,36000,14355,21600,18000,3600,0,5400,81000,71955,Gross MRP data - QOH provided,62350,95000,0,0.030900,E,0.000000,Empty Customer Price,Common Bond,5000,0,Empty Customer MPQ,In-Transit:Sales=0;CBO=0,,CT#9999,202,11/25/2019,1/1/2030,42423,53223,VN0101RICONSIGN,BIM-JABIL VN-SMCI,1853037074,000001,Y,Y,N,N,,,18000,96378,16028,1/2/2021,,Gross MRP Received,N,N,N,16028,16028,35000,,,,,N,8,SMAZ20-13-F
FUTA,JS005B,MC,1,1,188735397,DIO,BAV99W-7-F,BAV99WT1,001,04,60000,30000,0,30000,0,0,1878000,237000,1891932,30 Weeks+,8/2/2021,79.53%,No previous data found,No previous data found,0,0,0,126000,1131000,11601000,42000,36000,12000,6000,12000,24000,11594,3424,3479,1816,1587,283,112,10306,5060,15774,11805,8894,14323,10298,38513,31140,Gross MRP data - QOH provided,11666,15000,0,0.007600,E,0.000000,Empty Customer Price,Common Bond,3000,0,Empty Customer MPQ,In-Transit:Sales=3000;CBO=0,,CT#9999,007,1/15/2016,1/1/2030,21900,22183,VN0101RICONSIGN,BIM-JABIL VN-SMCI,1853035851,000001,Y,Y,N,N,,,1418,44152,31068,1/2/2021,,Gross MRP Received,N,N,N,31068,31068,30000,,,,,N,14,BAV99W-7-F
FUTA,JS005B,MC,1,1,189103664,DIO,BZT52C43-7-F,BZT52C43TR,001,4X,258000,120000,0,120000,21000,0,150000,36000,215555,21 Weeks,5/31/2021,70.75%,No previous data found,No previous data found,0,0,0,0,0,567000,141000,141000,66000,54000,42000,45000,57075,0,172,10863,0,14213,0,11035,38037,51650,45724,50930,41168,44712,140760,100722,Gross MRP data - QOH provided,25352,78000,0,0.008500,E,0.000000,Empty Customer Price,Common Bond,3000,0,Empty Customer MPQ,In-Transit:Sales=33000;CBO=0,,1853022412,009,1/15/2016,1/1/2030,68110,82323,VN0101RICONSIGN,BIM-JABIL VN-SMCI,1853036143,000001,Y,Y,N,N,,,11042,168839,132445,1/2/2021,,Gross MRP Received,N,N,N,132445,132445,120000,,,,,N,14,BZT52C43-7-F
FUTA,JS005B,MC,1,1,189239000,DIO,HD04-T,HD04TR,001,4V,900000,294000,0,294000,402000,0,1032000,0,1189932,30 Weeks+,8/2/2021,93.87%,No previous data found,No previous data found,0,0,0,330000,636000,3375000,327000,405000,150000,123000,84000,120000,127276,23831,11662,27673,0,32529,180,63166,89536,155370,139669,123469,139418,157805,571448,308072,Gross MRP data - QOH provided,95280,204000,0,0.041000,E,0.000000,Empty Customer Price,Common Bond,3000,0,Empty Customer MPQ,In-Transit:Sales=18000;CBO=0,,1853023228,109,9/26/2016,1/1/2030,190442,222971,VN0101RICONSIGN,BIM-JABIL VN-SMCI,1853034713,000001,Y,Y,N,N,,,24664,460012,340068,1/2/2021,,Gross MRP Received,N,N,N,340068,340068,294000,,,,,N,8,HD04-T
FUTA,JS005B,MC,1,1,28318-LF,ML7,SPX1117M3-L-1-8/TR,LT1117CST-1.8TR,001,09,2500,62500,55000,7500,17500,0,0,22500,-9233,-1 Weeks,12/28/2020,498.96%,No previous data found,No previous data found,0,0,0,0,0,80000,17500,0,0,0,0,17500,29553,10565,8982,4537,3060,0,38,27144,17531,25877,16766,14047,22588,12996,34878,70552,Gross MRP data - QOH provided,25872,57500,0,0.068000,E,0.000000,Empty Customer Price,Common Bond,2500,0,Empty Customer MPQ,In-Transit:Sales=20000;CBO=0,,CT#9999,256,8/17/2020,1/1/2030,56697,56697,VN0101RICONSIGN,BIM-JABIL VN-SMCI,1853045218,000001,Y,Y,N,N,,,4621,104726,74233,1/2/2021,,Gross MRP Received,N,N,N,74233,74233,7500,,,,,N,16,SPX1117M3-L-1-8/TR
FUTA,JS005B,MC,1,1,28387-LF,STM,M41T81M6F,M41T81M6TR/SADA,001,25,100000,37500,30000,7500,0,0,0,0,14444,-1 Weeks,12/28/2020,118.32%,No previous data found,No previous data found,0,0,0,0,0,332500,35000,30000,12500,7500,20000,7500,20468,7638,6766,3461,2071,0,38,19936,9324,15813,11131,8399,13066,7087,14591,45073,Gross MRP data - QOH provided,24985,47500,0,0.620000,E,0.000000,Empty Customer Price,Common Bond,2500,0,Empty Customer MPQ,In-Transit:Sales=22500;CBO=0,,CT#9999,209,1/6/2020,1/1/2030,40404,40404,VN0101RICONSIGN,BIM-JABIL VN-SMCI,1853037733,000001,Y,Y,N,N,,,3053,68594,40556,1/2/2021,,Gross MRP Received,N,N,N,40556,40556,7500,,,,,N,14,M41T81M6F
FUTA,JS005B,MC,1,1,3408CPC5622S-E,CLR,CPC5622ATR,CPC5622ATR,001,63,20000,2000,2000,0,11000,0,0,1000,975,0 Weeks,1/4/2021,127.25%,No previous data found,No previous data found,0,0,0,67000,0,0,2000,1000,0,1000,1000,0,0,397,400,0,0,0,0,797,748,500,500,0,500,0,0,2045,Gross MRP data - QOH provided,1020,2000,0,1.400000,E,0.000000,Empty Customer Price,Common Bond,1000,0,Empty Customer MPQ,In-Transit:Sales=0;CBO=0,,CT#9999,168,2/1/2019,1/1/2030,797,797,VN0101RICONSIGN,BIM-JABIL VN-SMCI,1853033590,000001,Y,Y,N,N,,,0,2045,1025,1/2/2021,,Gross MRP Received,N,N,N,1025,1025,0,,,,,N,12,CPC5622ATR
FUTA,JS005B,MC,1,1,34292777S-E,MCP,MIC2777-31YM5-TR,MIC2777-31YM5TR,001,27,12000,3000,0,3000,0,0,3000,0,4211,14 Weeks,4/12/2021,114.42%,No previous data found,No previous data found,0,0,0,0,3000,9000,6000,0,0,3000,3000,0,0,397,907,520,189,199,0,2013,2246,950,1656,750,800,0,0,5209,Gross MRP data - QOH provided,3420,0,0,0.440000,E,0.000000,Empty Customer Price,Common Bond,3000,0,Empty Customer MPQ,In-Transit:Sales=0;CBO=0,,CT#9999,116,2/21/2017,1/1/2030,2013,2212,VN0101RICONSIGN,BIM-JABIL VN-SMCI,1853037603,000001,Y,Y,N,N,,,0,5209,1789,1/2/2021,,Gross MRP Received,N,N,N,1789,1789,3000,,,,,N,12,MIC2777-31YM5TR
