Ship To,Bill Name,Customer Part.,Mfr,Item No,Order Number,Date Ordered,Date Required,Qty Required,Qty Allocated,Current Customer Commit,Current Commit Date,Resale Price,Value USD,Value Alloc USD,LeadTime,Product Type,MPQ,Class,Usage Last Month,Usage 2 Mths ago,Usage 3 Mths ago,Total PBO Qty,Country Of Origin,Weight(grams),Stock Asia,Stock Asia Available,Stock Canada,Stock Canada Available,Stock Europe,Stock Europe Available,Stock US,Stock US Available,Business Unit,Days Late,Order Month
JS004000,JABIL VIETNAM CO. LTD  ,SE27-00010-001,ABR,1213743,4509175456,4/12/2022,10/4/2023,2000,0,2000,10/4/2023,0.422,844,0,26,L,1000,68,0,0,0,80000,KR,280,11000,0,0,0,0,0,0,0,EMech & PTE,0,4
JS004001,JABIL VIETNAM CO. LTD  ,69814-3,ZTM,3060501,4510720096,5/24/2023,8/25/2023,12150,0,12150,8/25/2023,1.05,12757.5,0,12,N,150,66,0,0,0,21750,0,1087020,0,0,0,0,0,0,0,0,Passives,0,5
JS0N5B00,JABIL VIETNAM CO. LTD  ,192031028,NXP,3075757,BIM-JABIL-NXP-1,2/11/2016,1/1/2030,1722000,0,12000,11/28/2023,1.1775,2027655,0,20,L,4000,2N,240000,364000,276000,2560000,TW,1033200,156000,0,0,0,0,0,20000,0,Future Connectivity Solutions,2226,2
JS005B00,JABIL VIETNAM CO. LTD  ,GE9938052076,DIO,9045985,BIM-JABIL VN-SMCI,1/15/2016,1/1/2030,87000,0,36000,2/13/2024,0.0435,3784.5,0,8,L,3000,4X,120000,0,9000,129000,0,5075,114000,0,0,0,0,0,0,0,Small Signal Discretes,2149,1
JS0N5B00,JABIL VIETNAM CO. LTD  ,192039313,NXP,6095769,BIM-JABIL-NXP,10/26/2018,1/1/2030,140000,100000,100000,12/1/2023,0.239,33460,23900,19,L,4000,8,8000,0,48000,88000,TH,4900,112000,0,0,0,0,0,0,0,ANALOG,2223,10
JS0N5B00,JABIL VIETNAM CO. LTD  ,192011245,NXP,3110121,BIM-JABIL-NXP,3/4/2019,1/1/2030,52000,0,10000,11/22/2023,2.388,124176,0,13,L,2000,1P,5943,8000,4000,84000,TW,27560,6000,0,0,0,0,0,0,0,MICROCONTROLLERS,2232,3
JS005B00,JABIL VIETNAM CO. LTD  ,ZB-50-15100-214,CK ,5372180,BIM-JABIL VN-SMCI,7/4/2019,1/1/2030,25000,18000,18000,12/29/2023,0.178,4450,3204,13,C,1000,22,0,0,2000,56000,FR,15500,49000,0,0,0,0,0,0,0,EMech & PTE,2195,7
JS005B00,JABIL VIETNAM CO. LTD  ,SW3900227,NCP,3649001,BIM-JABIL VN-1,7/17/2019,1/1/2030,810,0,90,12/26/2023,0.812,657.72,0,20,C,90,85,90,0,0,1350,TW,0,2070,0,0,0,360,0,2759,2219,Interconnect,2198,7
JS005B00,JABIL VIETNAM CO. LTD  ,SW3400824,STG,1165834,BIM-JABIL VN-1,7/17/2019,1/1/2030,7500,0,5000,1/24/2024,0.253,1897.5,0,25,N,2500,6I,7500,0,0,10000,MA,2220,7500,0,0,0,0,0,0,0,ANALOG,2169,7
JS0N5B00,JABIL VIETNAM CO. LTD  ,CA780-00601-LC,NXP,4089143,BIM-JABIL-NXP,10/15/2019,1/1/2030,200000,157500,157500,12/8/2023,0.1815,36300,28586.25,21,L,2500,5B,0,0,0,235000,CN,40000,157500,0,0,0,0,0,0,0,Sensors,2216,10
JS005B00,JABIL VIETNAM CO. LTD  ,CA763-00003-LC,DIO,5049115,BIM-JABIL VN-SMCI,10/29/2019,1/1/2030,2000,0,1000,9/19/2023,0.058,116,0,8,L,1000,4,0,0,0,52000,0,400,0,0,0,0,0,0,0,0,Small Signal Discretes,2296,10
JS005B00,JABIL VIETNAM CO. LTD  ,SW5200113,LF ,4144841,BIM-JABIL VN-1,6/8/2021,1/1/2030,1500,0,1500,8/17/2023,0.2814,422.1,0,13,L,1500,14,1500,0,0,13500,0,214,3000,0,0,0,0,0,0,0,Circuit Protection,2329,6
JS080200,JABIL VIETNAM CO. LTD  ,SW5010155,DIO,2132320,1852055756,8/4/2022,11/11/2023,75000,0,75000,1/26/2024,0.0217,1627.5,0,8,L,3000,4Y,0,0,0,954000,CN,9000,1776000,948000,0,0,0,0,0,0,Discretes,-76,8
JS080200,JABIL VIETNAM CO. LTD  ,SW5010155,DIO,2132320,1852055757,8/4/2022,12/9/2023,72000,69000,69000,2/19/2024,0.0217,1562.4,1497.3,8,L,3000,4Y,0,0,0,954000,CN,8640,1776000,948000,0,0,0,0,0,0,Discretes,-72,8
JS004001,JABIL VIETNAM CO. LTD  ,69814-3,ZTM,3060501,4510720100,5/24/2023,8/25/2023,9600,0,9600,8/25/2023,1.05,10080,0,12,N,150,66,0,0,0,21750,0,858880,0,0,0,0,0,0,0,0,Passives,0,5
JS010800,JABIL VIETNAM CO. LTD  ,SE50-00105-001,NXP,2166242,4509713712,6/15/2023,10/10/2023,1216,0,152,10/10/2023,12.1797,14810.52,0,16,N,152,1H,2432,0,0,5168,KR,5520,1064,1064,0,0,0,0,0,0,Future Intelligent Solutions,0,6
JS010800,JABIL VIETNAM CO. LTD  ,SE50-00105-001,NXP,2166242,4509713713,6/15/2023,10/31/2023,1216,0,1064,10/31/2023,12.1797,14810.52,0,16,N,152,1H,2432,0,0,5168,KR,5520,1064,1064,0,0,0,0,0,0,Future Intelligent Solutions,0,6
