Ship To,Customer Name,Customer Part.,Mfr,Item No,Order Number,Date Ordered,Date Required,Qty Required,Qty Allocated,Current Customer Commit,Current Commit Date,Resale Price,Value USD,Value Alloc USD,LeadTime,Product Type,MPQ,Class,Usage Last Month,Usage 2 Mths ago,Usage 3 Mths ago,Total PBO Qty,Country Of Origin,Weight(grams),Stock Asia,Stock Asia Available,Stock Canada,Stock Canada Available,Stock Europe,Stock Europe Available,Stock US,Stock US Available,Business Unit
JS005B00,JABIL VIETNAM CO. LTD.,189103664,DIO,7388556,BIM-JABIL VN-SMCI,01/15/2016,01/01/2030,6000,0,Qty: 6000 - Man-Alloc-ATS,Issue: Manual Allocation,0.0103,61.8,0.0,12,C,3000,4X,21000,21000,0,0,CN,318.0,129000,42000,0,0,108000,105000,0,0,Small Signal Discretes
JS004000,JABIL VIETNAM CO. LTD,SND1DDE002302-NR,DIO,4456992,4508650451,12/14/2021,09/22/2023,117000,0,"Qty: 117000 - Man-Alloc-ATS;
Bond Exists, 0 Req Qty
",Issue: Manual Allocation,0.0139,1626.3,0.0,12,C,3000,04,117000,0,123000,369000,CN,5152.0,825000,411000,0,0,231000,108000,558000,174000,Small Signal Discretes
JS004000,JABIL VIETNAM CO. LTD,CA763-00012-LC,DIO,7091728,4508909383,02/13/2022,09/09/2023,3000,0,Qty: 3000 - Man-Alloc-ATS,Issue: Manual Allocation,0.0333,99.9,0.0,8,L,3000,29,3000,3000,0,0,CN,340.0,30000,30000,0,0,3000,0,0,0,Discretes
JS004000,JABIL VIETNAM CO. LTD,SEECS-FT-20060-LF,DIO,7362841,4509263942,05/04/2022,09/09/2023,258000,0,Qty: 258000 - Man-Alloc-ATS,Issue: Manual Allocation,0.0906,23374.8,0.0,8,C,3000,04,0,1023000,360000,3732000,CN,6880.0,3648000,537000,0,0,582000,0,42000,30000,Small Signal Discretes
JS080200,JABIL VIETNAM CO. LTD.,SW5010155,DIO,2132320,1852055747,08/04/2022,09/12/2023,51000,0,Qty: 51000 - Man-Alloc-ATS,Issue: Manual Allocation,0.0217,1106.7,0.0,8,L,3000,4Y,0,0,0,954000,CN,6120.0,1776000,948000,0,0,0,0,0,0,Discretes
JS080200,JABIL VIETNAM CO. LTD.,SW5010155,DIO,2132320,1852055748,08/04/2022,08/26/2023,54000,0,Qty: 54000 - Man-Alloc-ATS,Issue: Manual Allocation,0.0217,1171.8,0.0,8,L,3000,4Y,0,0,0,954000,CN,6480.0,1776000,948000,0,0,0,0,0,0,Discretes
JS004000,JABIL VIETNAM CO. LTD,SE27-00010-001,ABR,1213743,4509175456,04/12/2022,10/04/2023,2000,0,2000 units - 2023/08/22,2023/10/04,0.422,844.0,0.0,26,L,1000,68,0,0,0,80000,KR,280.0,11000,0,0,0,0,0,0,0,EMech & PTE
JS080200,JABIL VIETNAM CO. LTD.,SW5010155,DIO,2132320,1852055750,08/04/2022,09/23/2023,57000,0,Qty: 57000 - Man-Alloc-ATS,Issue: Manual Allocation,0.0217,1236.9,0.0,8,L,3000,4Y,0,0,0,954000,CN,6840.0,1776000,948000,0,0,0,0,0,0,Discretes
JS080200,JABIL VIETNAM CO. LTD.,SW5010155,DIO,2132320,1852055754,08/04/2022,09/16/2023,78000,0,Qty: 78000 - Man-Alloc-ATS,Issue: Manual Allocation,0.0217,1692.6,0.0,8,L,3000,4Y,0,0,0,954000,CN,9360.0,1776000,948000,0,0,0,0,0,0,Discretes
JS080200,JABIL VIETNAM CO. LTD.,SW3017266,DIO,3122438,1852073127,08/16/2022,09/08/2023,300000,0,"Qty: 300000 - Man-Alloc-ATS;
Bond Exists, 0 Req Qty
",Issue: Manual Allocation,0.0198,5940.0,0.0,8,L,10000,11,390000,0,0,0,CN,5000.0,1880000,310000,0,0,0,0,0,0,Circuit Protection
