Group,PAST_DUE_DAYS_ORD_STATUS,PAST_DUE_ORD_STATUS_DAYCOUNT,BRANCH NAME,BILL_NAME,Shipto,Business Unit,Mfr,Customer Part #,MFR Part #,CAT,Order Number, Value , Value-Alloc ,Ordered,Required,Commited,Resale,Qty,Alloc,Balance,Mtl Avl,Bos Avl,UK Avl,Asia Avl,PBO,CBO,POQ,MPQ,SOQ,ViaCode,Tariff Class,OS Name
Discrete,> 14 Days,108,VIETNAM,BINH ANH ELECTRONIC TECH DEVT CO ,BS605400,Discrete,EVL,VT-00379,17-215SURC/S530-A3/TR8,1,070322-BAFE," 2,376.00 "," 2,376.00 ",3/7/2022 0:00,4/29/2023 0:00,1/1/2049 0:00,0.024,99000,99000,0.0,0,0,0,102000,0,201000,21000,3000,3000,ASSAFCA,LL009,"NGUYEN, ALBERT (A-2R)       "
Discrete,> 14 Days,202,VIETNAM,BINH ANH ELECTRONIC TECH DEVT CO ,BS605400,Discrete,EVL,17-215SURC/S530-A3/TR8,17-215SURC/S530-A3/TR8,1,180122-BAFE, 72.00 , 72.00 ,1/19/2022 0:00,4/29/2023 0:00,11/22/2023 0:00,0.024,3000,3000,0.0,0,0,0,102000,0,201000,21000,3000,3000,ASSAFCA,LL009,"NGUYEN, ALBERT (A-2R)       "
Passive,<= 14 Days,13,VIETNAM,CICOR ASIA PTE LTD               ,CS033102,Passive,SMP,4096842,CL05A106MQ5NUNC,1,4500620802, -   , 70.00 ,1/4/2023 0:00,6/5/2023 0:00,6/5/2023 0:00,0.0035,0,20000,0.0,0,0,810000,2050000,1410000,4360000,50000,10000,10000,ASSAFCA,KK123,"VO, DUCHIEU (A-2R)          "
Passive,<= 14 Days,13,SINGAPORE,V.S. ELECTRONICS SDN. BHD        ,VS957809,Passive,SMP,454808-01-01-F,CL05A106MQ5NUNC,1,099698...,0,350,3/30/2023 0:00,3/30/2023 0:00,4/1/2024 0:00,0.0035,0,100000,0.0,0,0,810000,2050000,1410000,4360000,50000,10000,10000,TGMYDAP,KK123,"YAP, TERENCE (A-01)         "
Discrete,<= 14 Days,3,SINGAPORE,V.S. ELECTRONICS SDN. BHD        ,VS957807,Discrete,LF7,TVSP6SMB250A,P6SMB250A,1,099696,456,456,3/2/2023 0:00,6/15/2023 0:00,1/1/2049 0:00,0.152,3000,3000,0.0,0,9000,0,0,0,3000,3000,3000,3000,TGMYDAP,LL017,"YAP, TERENCE (A-01)         "
Discrete,<= 14 Days,0,SINGAPORE,ITG ELECTRONICS (MALAYSIA)SDN BHD,PS003700,Discrete,DIO,NW4200021RZ1,DMG1013UW-7,1,RB14523,384,384,6/15/2023 0:00,6/16/2023 0:00,6/22/2023 0:00,0.032,12000,12000,0.0,0,84000,534000,798000,0,813000,3000,3000,3000,AMMYFCA13,LL025,"YAP, TERENCE (A-01)         "
Analog,> 14 Days,61,SINGAPORE,GES MANUFACTURING SERVICES (M)   ,ES044400,Analog,DIO,N01-16002051-R,AP2156SG-13,1,4601148024,3795,3795,2/8/2023 0:00,4/18/2023 0:00,2/14/2024 0:00,0.138,27500,27500,0.0,0,0,2500,0,455000,912500,5000,2500,2500,AMGEFOB24,MM226,"TEO, HAZEL (A-01)           "
Interconnect,> 14 Days,42,VIETNAM,XP POWER SINGAPORE MANUFACTURING ,XS005400,Interconnect,HTG,IN60000044298,09330006102,1,1500039605, 152.50 , 152.50 ,11/28/2022 0:00,5/6/2023 0:00,11/28/2023 0:00,0.305,500,500,0.0,0,0,0,0,0,1800,100,100,100,DEWWDAP45,KK113,"LE, HENRY (A-2R)            "
FGC,<= 14 Days,14,SINGAPORE,PCI PRIVATE LIMITED              ,PS955301,FGC,BR4,RGTX000300,MF-NSMF012-2,1,4510272172,1412.4,1412.4,9/10/2021 0:00,6/1/2023 0:00,1/1/2047 0:00,0.0428,33000,33000,0.0,0,0,177000,75000,150000,111000,102000,3000,3000,AMIDFCA97,KK114,"LU, ADELINE (A-01)          "
Passive,> 14 Days,539,VIETNAM,XP POWER SINGAPORE MANUFACTURING ,XS005400,Passive,AVX,10027344,2225HC103KAT1A,1,VPP21002270......," 1,980.00 "," 1,980.00 ",7/8/2021 0:00,8/25/2022 0:00,1/1/2047 0:00,0.99,2000,2000,0.0,0,0,0,0,0,11500,500,500,500,DEWWDAP45,KK123,"LE, HENRY (A-2R)            "
